Membership No  Date Joined  Active  
    33097      2020-9-24    no    
    84114      2016-7-11    no    
    26090      2016-11-6    no    
    79705      2018-6-1     no    
    84851      2020-9-17    no    
    78350      2019-11-1    no    
    21583      2017-9-1     no    
    98393      2020-2-18    no    
    93466      2018-1-18    no    
    29490      2017-7-23    no    
    25886      2017-8-11    no    
    65356      2017-10-7    no    
    46906      2016-7-12    no    
    66658      2019-6-22    no    
